experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_081,fedavg,cancer,iid,10,,true,0.5,0.8875219683655536,0.9598990539612071,10
exp_082,fedavg,cancer,iid,3,,false,0.0,0.9543057996485061,0.9915966386554622,10
exp_083,fedavg,cancer,iid,5,,false,0.0,0.9314586994727593,0.979652238253792,10
exp_084,fedavg,cancer,iid,10,,false,0.0,0.8927943760984183,0.9857037154484436,10
exp_085,fedavg,cancer,iid,3,,false,0.3,0.961335676625659,0.9913852333386185,10
exp_086,fedavg,cancer,iid,5,,false,0.3,0.9630931458699473,0.9942788436129169,10
exp_087,fedavg,cancer,iid,10,,false,0.3,0.9173989455184535,0.9780270598805559,10
exp_088,fedavg,cancer,iid,3,,false,0.5,0.9543057996485061,0.9903017810897945,10
exp_089,fedavg,cancer,iid,5,,false,0.5,0.9437609841827768,0.9879763226045134,10
exp_090,fedavg,cancer,iid,10,,false,0.5,0.929701230228471,0.9810131599809735,10
exp_091,fedavg,cancer,noniid,3,,true,0.0,0.9332161687170475,0.9803657311981396,10
exp_092,fedavg,cancer,noniid,5,,true,0.0,0.9367311072056239,0.9916627028169759,10
exp_093,fedavg,cancer,noniid,10,,true,0.0,0.9543057996485061,0.9914909359970403,10
exp_094,fedavg,cancer,noniid,3,,true,0.3,0.945518453427065,0.9882273664182655,10
exp_095,fedavg,cancer,noniid,5,,true,0.3,0.9490333919156415,0.9858094181068654,10
exp_096,fedavg,cancer,noniid,10,,true,0.3,0.9050966608084359,0.9709846202631995,10
exp_097,fedavg,cancer,noniid,3,,true,0.5,0.9244288224956063,0.9759658580413297,10
exp_098,fedavg,cancer,noniid,5,,true,0.5,0.6889279437609842,0.9757148142275778,10
exp_099,fedavg,cancer,noniid,10,,true,0.5,0.6977152899824253,0.9718434543628772,10
exp_100,fedavg,cancer,noniid,3,,false,0.0,0.9244288224956063,0.9796390254214894,10
exp_101,fedavg,cancer,noniid,5,,false,0.0,0.9367311072056239,0.9883859204058982,10
exp_102,fedavg,cancer,noniid,10,,false,0.0,0.9261862917398945,0.98123777813012,10
exp_103,fedavg,cancer,noniid,3,,false,0.3,0.789103690685413,0.9792822789493156,10
exp_104,fedavg,cancer,noniid,5,,false,0.3,0.9525483304042179,0.9891126261825485,10
exp_105,fedavg,cancer,noniid,10,,false,0.3,0.7205623901581723,0.9716188362137308,10
exp_106,fedavg,cancer,noniid,3,,false,0.5,0.9349736379613357,0.9883330690766874,10
exp_107,fedavg,cancer,noniid,5,,false,0.5,0.961335676625659,0.990817081549601,10
exp_108,fedavg,cancer,noniid,10,,false,0.5,0.9261862917398945,0.9793219174462238,10
exp_109,fedavg,cancer,dirichlet,3,10.0,true,0.0,0.9332161687170475,0.9814227577823582,10
exp_110,fedavg,cancer,dirichlet,3,1.0,true,0.0,0.9138840070298769,0.9710242587601078,10
exp_111,fedavg,cancer,dirichlet,5,10.0,true,0.0,0.9560632688927944,0.9913720205063158,10
exp_112,fedavg,cancer,dirichlet,5,1.0,true,0.0,0.8734622144112478,0.9678399661751493,10
exp_113,fedavg,cancer,dirichlet,10,10.0,true,0.0,0.8699472759226714,0.9811056498070927,10
exp_114,fedavg,cancer,dirichlet,10,1.0,true,0.0,0.8840070298769771,0.9674832197029757,10
exp_115,fedavg,cancer,dirichlet,3,10.0,true,0.3,0.9209138840070299,0.9818719940806511,10
exp_116,fedavg,cancer,dirichlet,3,1.0,true,0.3,0.6274165202108963,0.9526055705300989,10
exp_117,fedavg,cancer,dirichlet,5,10.0,true,0.3,0.9472759226713533,0.9834839596215845,10
exp_118,fedavg,cancer,dirichlet,5,1.0,true,0.3,0.8963093145869947,0.9807621161672215,10
exp_119,fedavg,cancer,dirichlet,10,10.0,true,0.3,0.9367311072056239,0.9766264996564664,10
exp_120,fedavg,cancer,dirichlet,10,1.0,true,0.3,0.6274165202108963,0.9059774853337561,10
exp_121,fedavg,cancer,dirichlet,3,10.0,true,0.5,0.9314586994727593,0.988795518207283,10
exp_122,fedavg,cancer,dirichlet,3,1.0,true,0.5,0.9103690685413005,0.984197452565932,10
exp_123,fedavg,cancer,dirichlet,5,10.0,true,0.5,0.8980667838312829,0.9812509909624227,10
exp_124,fedavg,cancer,dirichlet,5,1.0,true,0.5,0.648506151142355,0.9656730616775011,10
exp_125,fedavg,cancer,dirichlet,10,10.0,true,0.5,0.9191564147627417,0.9723059034934729,10
exp_126,fedavg,cancer,dirichlet,10,1.0,true,0.5,0.7381370826010545,0.9715395592199145,10
exp_127,fedavg,cancer,dirichlet,3,10.0,false,0.0,0.945518453427065,0.9908831457111146,10
exp_128,fedavg,cancer,dirichlet,3,1.0,false,0.0,0.9472759226713533,0.9894561598224195,10
exp_129,fedavg,cancer,dirichlet,5,10.0,false,0.0,0.9578207381370826,0.9923101315998097,10
exp_130,fedavg,cancer,dirichlet,5,1.0,false,0.0,0.9226713532513181,0.9866814650388457,10
exp_131,fedavg,cancer,dirichlet,10,10.0,false,0.0,0.8418277680140598,0.9837746419322446,10
exp_132,fedavg,cancer,dirichlet,10,1.0,false,0.0,0.9507908611599297,0.9879895354368162,10
exp_133,fedavg,cancer,dirichlet,3,10.0,false,0.3,0.9595782073813708,0.9908831457111147,10
exp_134,fedavg,cancer,dirichlet,3,1.0,false,0.3,0.9367311072056239,0.9891522646794567,10
exp_135,fedavg,cancer,dirichlet,5,10.0,false,0.3,0.9349736379613357,0.9860472490883145,10
exp_136,fedavg,cancer,dirichlet,5,1.0,false,0.3,0.9507908611599297,0.9849637968394905,10
exp_137,fedavg,cancer,dirichlet,10,10.0,false,0.3,0.9472759226713533,0.9892711801701813,10
exp_138,fedavg,cancer,dirichlet,10,1.0,false,0.3,0.8646748681898067,0.965580571851382,10
exp_139,fedavg,cancer,dirichlet,3,10.0,false,0.5,0.9384885764499121,0.9837614290999419,10
exp_140,fedavg,cancer,dirichlet,3,1.0,false,0.5,0.9156414762741653,0.980497859521167,10
